"date","count","lang","page","rank","month","title"
2008-02-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-02-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
2008-03-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-31,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-03-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200803","Bootsunglück_vor_Lampedusa_2013"
2008-04-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-04-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200804","Bootsunglück_vor_Lampedusa_2013"
2008-05-31,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-05-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200805","Bootsunglück_vor_Lampedusa_2013"
2008-06-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-06-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200806","Bootsunglück_vor_Lampedusa_2013"
2008-07-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-07-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200807","Bootsunglück_vor_Lampedusa_2013"
2008-08-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-31,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
2008-08-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200808","Bootsunglück_vor_Lampedusa_2013"
